doi,year,type,title,authors,venue,cited_by_count,is_oa,oa_url,abstract,found_by,pavement_hit,drift_hit,label_hybrid,screen_ti_ab,screen_fulltext,exclusion_reason,hybridisation_type,self_describes_as_hybrid,optimiser,base_learner,pavement_domain,pavement_family,data_source,n_samples,n_inputs,split_protocol,external_validation,leakage_risk,hyperparam_reporting,baseline_strength,premium_computable,premium_value,budget_parity_reported,optimiser_novelty_claim,repeated_runs_reported,uncertainty_quantified,interpretability_method,metrics_reported,best_reported_R2,best_reported_F1,code_available,data_available,deployment_evidence,critique_note
10.1016/j.jhazmat.2008.05.060,2009,journal-article,Stabilization treatment of soft subgrade soil by sewage sludge ash and cement,"Chen, Li; Lin, Deng-Fong",Journal of Hazardous Materials,216,,,,C:soft computing subgrade soil,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1109/tits.2021.3095507,2022,journal-article,CrackW-Net: A Novel Pavement Crack Image Segmentation Convolutional Neural Network,"Han, Chengjia; Ma, Tao; Huyan, Ju; Huang, Xiaoming; Zhang, Yanning",IEEE Transactions on Intelligent Transportation Systems,210,,,,B:convolutional neural network pavement,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1080/10298436.2018.1485917,2018,journal-article,Automatic classification of pavement crack using deep convolutional neural network,"Li, Baoxian; Wang, Kelvin C. P.; Zhang, Allen; Yang, Enhui; Wang, Guolong",International Journal of Pavement Engineering,203,,,,B:artificial neural network pavement | B:convolutional neural network pavement | B:convolutional neural network asphalt pavement | B:recurrent neural network pavement | B:transformer network pavement | B:graph neural network pavement | B:wavelet neural network pavement,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.autcon.2022.104190,2022,journal-article,Machine learning techniques for pavement condition evaluation,"Sholevar, Nima; Golroo, Amir; Esfahani, Sahand Roghani",Automation in Construction,195,,,,C:optimized machine learning pavement,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1117/1.2172917,2006,journal-article,Wavelet-based pavement distress detection and evaluation,"Zhou, Jian",Optical Engineering,192,,,,C:hybrid model pavement distress | C:hybrid intelligent model pavement distress | C:soft computing pavement distress | C:surrogate model pavement distress,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1190/1.2204964,2006,journal-article,Fast simulated annealing inversion of surface waves on pavement using phase-velocity spectra,"Ryden, Nils; Park, Choon Byong",Geophysics,188,,,"Abstract 
                   The conventional inversion of surface waves depends on modal identification of measured dispersion curves, which can be ambiguous. It is possible to avoid mode-number identification and extraction by inverting the complete phase-velocity spectrum obtained from a multichannel record. We use the fast simulated annealing (FSA) global search algorithm to minimize the difference between the measured phase-velocity spectrum and that calculated from a theoretical layer model, including the field setup geometry. Results show that this algorithm can help one avoid getting trapped in local minima while searching for the best-matching layer model. The entire procedure is demonstrated on synthetic and field data for asphalt pavement. The viscoelastic properties of the top asphalt layer are taken into account, and the inverted asphalt stiffness as a function of frequency compares well with laboratory tests on core samples. The thickness and shear-wave velocity of the deeper embedded layers are resolved within 10% deviation from those values measured separately during pavement construction. The proposed method may be equally applicable to normal soil site investigation and in the field of ultrasonic testing of materials.",A:simulated annealing pavement | A:simulated annealing asphalt pavement,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.3390/data3030028,2018,journal-article,Deep Learning in Data-Driven Pavement Image Analysis and Automated Distress Detection: A Review,"Gopalakrishnan, Kasthurirangan",Data,186,,,"Deep learning, more specifically deep convolutional neural networks, is fast becoming a popular choice for computer vision-based automated pavement distress detection. While pavement image analysis has been extensively researched over the past three decades or so, recent ground-breaking achievements of deep learning algorithms in the areas of machine translation, speech recognition, and computer vision has sparked interest in the application of deep learning to automated detection of distresses in pavement images. This paper provides a narrative review of recently published studies in this field, highlighting the current achievements and challenges. A comparison of the deep learning software frameworks, network architecture, hyper-parameters employed by each study, and crack detection performance is provided, which is expected to provide a good foundation for driving further research on this important topic in the context of smart pavement or asset management systems. The review concludes with potential avenues for future research; especially in the application of deep learning to not only detect, but also characterize the type, extent, and severity of distresses from 2D and 3D pavement images.",B:deep learning pavement | C:hybrid model pavement distress | C:hybrid machine learning pavement distress | C:optimized machine learning pavement distress | C:data-driven model pavement | C:data-driven model pavement performance | C:data-driven model pavement distress | C:surrogate model pavement distress | C:explainable machine learning pavement distress,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1007/s00366-018-0611-9,2018,journal-article,A novel method for asphalt pavement crack classification based on image processing and machine learning,"Hoang, Nhat-Duc; Nguyen, Quoc-Lam",Engineering with Computers,184,,,,B:extreme learning machine asphalt pavement | C:hybrid machine learning asphalt pavement | C:optimized machine learning asphalt pavement | C:explainable machine learning asphalt pavement,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1109/tits.2015.2428655,2015,journal-article,A Review of Three-Dimensional Imaging Technologies for Pavement Distress Detection and Measurements,"Mathavan, Senthan; Kamal, Khurram; Rahman, Mujib",IEEE Transactions on Intelligent Transportation Systems,171,,,,C:hybrid intelligent model pavement distress,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1155/2008/861701,2008,journal-article,Evaluating Pavement Cracks with Bidimensional Empirical Mode Decomposition,"Ayenu-Prah, Albert; Attoh-Okine, Nii",EURASIP Journal on Advances in Signal Processing,170,,,,B:empirical mode decomposition pavement | B:empirical mode decomposition asphalt pavement,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.3390/infrastructures3040058,2018,journal-article,Pavement Distress Detection Methods: A Review,"Ragnoli, Antonella; De Blasiis, Maria Rosaria; Di Benedetto, Alessandro",Infrastructures,169,,,"The road pavement conditions affect safety and comfort, traffic and travel times, vehicles operating cost, and emission levels. In order to optimize the road pavement management and guarantee satisfactory mobility conditions for all road users, the Pavement Management System (PMS) is an effective tool for the road manager. An effective PMS requires the availability of pavement distress data, the possibility of data maintenance and updating, in order to evaluate the best maintenance program. In the last decade, many researches have been focused on pavement distress detection, using a huge variety of technological solutions for both data collection and information extraction and qualification. This paper presents a literature review of data collection systems and processing approach aimed at the pavement condition evaluation. Both commercial solutions and research approaches have been included. The main goal is to draw a framework of the actual existing solutions, considering them from a different point of view in order to identify the most suitable for further research and technical improvement, while also considering the automated and semi-automated emerging technologies. An important attempt is to evaluate the aptness of the data collection and extraction to the type of distress, considering the distress detection, classification, and quantification phases of the procedure.",C:hybrid model pavement distress | C:surrogate model pavement distress,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1117/1.2177650,2006,journal-article,Automatic inspection of pavement cracking distress,"Huang, Yaxiong",Journal of Electronic Imaging,164,,,,C:hybrid model pavement distress | C:hybrid intelligent model pavement distress | C:surrogate model pavement distress,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.autcon.2023.105217,2024,journal-article,Dual-path network combining CNN and transformer for pavement crack segmentation,"Wang, Jin; Zeng, Zhigao; Sharma, Pradip Kumar; Alfarraj, Osama; Tolba, Amr; Zhang, Jianming; Wang, Lei",Automation in Construction,154,,,,B:transformer network pavement,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.sandf.2016.02.012,2016,journal-article,Field evaluation of soft highway subgrade soil stabilized with calcium carbide residue,"Du, Yan-Jun; Jiang, Ning-Jun; Liu, Song-Yu; Horpibulsuk, Suksun; Arulrajah, Arul",Soils and Foundations,150,,,,C:soft computing subgrade soil,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1061/(asce)cp.1943-5487.0000232,2013,journal-article,Automated Pothole Distress Assessment Using Asphalt Pavement Video Data,"Koch, Christian; Jog, Gauri M.; Brilakis, Ioannis",Journal of Computing in Civil Engineering,149,,,,C:soft computing pavement distress | C:data-driven model pavement distress,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1007/s40534-020-00214-x,2020,journal-article,Review of research on high-speed railway subgrade settlement in soft soil area,"Zhou, Shunhua; Wang, Binglong; Shan, Yao",Railway Engineering Science,145,,,"Abstract  Construction issues of high-speed rail infrastructures have been increasingly concerned worldwide, of which the subgrade settlement in soft soil area becomes a particularly critical problem. Due to the high compressibility and low permeability of soft soil, the post-construction settlement of the subgrade is extremely difficult to control in these regions, which seriously threatens the operation safety of high-speed trains. In this work, the significant issues of high-speed railway subgrades in soft soil regions are discussed. The theoretical and experimental studies on foundation treatment methods for ballasted and ballastless tracks are reviewed. The settlement evolution and the settlement control effect of different treatment methods are highlighted. Control technologies of subgrade differential settlement are subsequently briefly presented. Settlement calculation algorithms of foundations reinforced by different treatment methods are discussed in detail. The defects of existing prediction methods and the challenges faced in their practical applications are analyzed. Furthermore, the guidance on future improvement in control theories and technologies of subgrade settlement for high-speed railway lines and the corresponding challenges are provided.",C:soft computing subgrade soil,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.3390/su13095248,2021,journal-article,Review on Machine Learning Techniques for Developing Pavement Performance Prediction Models,"Justo-Silva, Rita; Ferreira, Adelino; Flintsch, Gerardo",Sustainability,140,,,"Road transportation has always been inherent in developing societies, impacting between 10–20% of Gross Domestic Product (GDP). It is responsible for personal mobility (access to services, goods, and leisure), and that is why world economies rely upon the efficient and safe functioning of transportation facilities. Road maintenance is vital since the need for maintenance increases as road infrastructure ages and is based on sustainability, meaning that spending money now saves much more in the future. Furthermore, road maintenance plays a significant role in road safety. However, pavement management is a challenging task because available budgets are limited. Road agencies need to set programming plans for the short term and the long term to select and schedule maintenance and rehabilitation operations. Pavement performance prediction models (PPPMs) are a crucial element in pavement management systems (PMSs), providing the prediction of distresses and, therefore, allowing active and efficient management. This work aims to review the modeling techniques that are commonly used in the development of these models. The pavement deterioration process is stochastic by nature. It requires complex deterministic or probabilistic modeling techniques, which will be presented here, as well as the advantages and disadvantages of each of them. Finally, conclusions will be drawn, and some guidelines to support the development of PPPMs will be proposed.",C:hybrid machine learning pavement performance | C:optimized machine learning pavement | C:optimized machine learning pavement performance | C:explainable machine learning pavement performance,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.soildyn.2018.05.024,2018,journal-article,Long-term prediction of track geometry degradation in high-speed vehicle–ballastless track system due to differential subgrade settlement,"Guo, Yu; Zhai, Wanming",Soil Dynamics and Earthquake Engineering,132,,,,A:differential evolution subgrade soil,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1080/14680629.2017.1308265,2017,journal-article,Recognition of asphalt pavement crack length using deep convolutional neural networks,"Tong, Zheng; Gao, Jie; Han, Zhenqiang; Wang, Zhenjun",Road Materials and Pavement Design,128,,,,B:artificial neural network asphalt pavement | B:deep learning asphalt pavement | B:convolutional neural network pavement | B:convolutional neural network asphalt pavement | B:recurrent neural network asphalt pavement | B:graph neural network asphalt pavement | B:physics-informed neural network asphalt pavement | B:wavelet neural network asphalt pavement,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1109/tnnls.2021.3062070,2022,journal-article,A Deeply Supervised Convolutional Neural Network for Pavement Crack Detection With Multiscale Feature Fusion,"Qu, Zhong; Cao, Chong; Liu, Ling; Zhou, Dong-Yang",IEEE Transactions on Neural Networks and Learning Systems,127,,,,B:convolutional neural network pavement | B:convolutional neural network asphalt pavement,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1155/2018/7419058,2018,journal-article,An Artificial Intelligence Method for Asphalt Pavement Pothole Detection Using Least Squares Support Vector Machine and Neural Network with Steerable Filter‐Based Feature Extraction,"Hoang, Nhat-Duc",Advances in Civil Engineering,127,,,"This study establishes an artificial intelligence (AI) model for detecting pothole on asphalt pavement surface. Image processing methods including Gaussian filter, steerable filter, and integral projection are utilized for extracting features from digital images. A data set consisting of 200 image samples has been collected to train and validate the predictive performance of two machine learning algorithms including the least squares support vector machine (LS‐SVM) and the artificial neural network (ANN). Experimental results obtained from a repeated subsampling process with 20 runs show that both LS‐SVM and ANN are capable methods for pothole detection with classification accuracy rate larger than 85%. In addition, the LS‐SVM has achieved the highest classification accuracy rate (roughly 89%) and the area under the curve (0.96). Accordingly, the proposed AI approach used with LS‐SVM can be very potential to assist transportation agencies and road inspectors in the task of pavement pothole detection.",B:artificial neural network asphalt pavement | B:recurrent neural network asphalt pavement | B:graph neural network asphalt pavement | B:wavelet neural network asphalt pavement | B:support vector regression asphalt pavement | B:least squares support vector machine pavement | B:least squares support vector machine asphalt pavement,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.autcon.2022.104309,2022,journal-article,Machine learning algorithms for monitoring pavement performance,"Cano-Ortiz, Saúl; Pascual-Muñoz, Pablo; Castro-Fresno, Daniel",Automation in Construction,126,,,,C:hybrid machine learning pavement performance | C:optimized machine learning pavement performance | C:explainable machine learning pavement performance,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1080/10298436.2021.1910825,2021,journal-article,An ensemble learning model for asphalt pavement performance prediction based on gradient boosting decision tree,"Guo, Runhua; Fu, Donglei; Sollazzo, Giuseppe",International Journal of Pavement Engineering,126,,,,A:teaching-learning-based optimization asphalt pavement | A:tree-structured parzen estimator pavement | A:tree-structured parzen estimator asphalt pavement | B:deep learning asphalt pavement | B:extreme learning machine asphalt pavement | B:gradient boosting pavement | B:gradient boosting asphalt pavement | B:extreme gradient boosting pavement | B:extreme gradient boosting asphalt pavement | B:categorical boosting pavement | B:categorical boosting asphalt pavement | B:light gradient boosting pavement | B:light gradient boosting asphalt pavement | B:stacking ensemble pavement | B:stacking ensemble asphalt pavement | C:hybrid model pavement | C:hybrid model asphalt pavement | C:hybrid model pavement performance | C:hybrid machine learning asphalt pavement | C:hybrid intelligent model asphalt pavement | C:hybrid intelligent model pavement performance | C:optimized machine learning asphalt pavement | C:data-driven model asphalt pavement | C:data-driven model pavement performance | C:surrogate model pavement | C:surrogate model asphalt pavement | C:surrogate model pavement performance | C:explainable machine learning asphalt pavement,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1061/(asce)cp.1943-5487.0000781,2018,journal-article,Image Processing–Based Classification of Asphalt Pavement Cracks Using Support Vector Machine Optimized by Artificial Bee Colony,"Hoang, Nhat-Duc; Nguyen, Quoc-Lam; Tien Bui, Dieu",Journal of Computing in Civil Engineering,126,,,,A:artificial bee colony pavement | A:artificial bee colony asphalt pavement | B:support vector regression asphalt pavement | C:optimized machine learning asphalt pavement,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1080/14680629.2014.927050,2014,journal-article,Implications of warm-mix asphalt on long-term oxidative ageing and fatigue performance of asphalt binders and mixtures,"Safaei, Farinaz; Lee, Jong-sub; Nascimento, Luis Alberto Hermann do; Hintz, Cassie; Kim, Y. Richard",Road Materials and Pavement Design,126,,,,B:long short-term memory asphalt pavement,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.autcon.2022.104383,2022,journal-article,Deep learning and infrared thermography for asphalt pavement crack severity classification,"Liu, Fangyu; Liu, Jian; Wang, Linbing",Automation in Construction,125,,,,B:deep learning pavement | B:deep learning asphalt pavement,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1080/10298436.2017.1279490,2017,journal-article,The search for a measure of fatigue cracking in asphalt binders – a review of different approaches,"Hajj, Ramez; Bhasin, Amit",International Journal of Pavement Engineering,125,,,,A:harmony search asphalt pavement | A:cuckoo search asphalt pavement | A:symbiotic organisms search asphalt pavement | A:beetle antennae search asphalt pavement | A:gravitational search algorithm asphalt pavement,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1080/10298436.2019.1633579,2019,journal-article,A simplified pavement condition index regression model for pavement evaluation,"Elhadidy, Amr A.; El-Badawy, Sherif M.; Elbeltagi, Emad E.",International Journal of Pavement Engineering,122,,,,A:political optimizer pavement | A:optuna pavement | B:evolutionary polynomial regression pavement | C:hybrid model pavement | C:hybrid model pavement performance | C:hybrid intelligent model pavement | C:data-driven model pavement | C:surrogate model pavement | C:surrogate model pavement performance,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.trgeo.2020.100358,2020,journal-article,Using artificial neural network and genetics algorithm to estimate the resilient modulus for stabilized subgrade and propose new empirical formula,"Hanandeh, Shadi; Ardah, Allam; Abu-Farsakh, Murad",Transportation Geotechnics,121,,,,B:artificial neural network subgrade soil,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.autcon.2023.104767,2023,journal-article,"Comparison of histogram-based gradient boosting classification machine, random Forest, and deep convolutional neural network for pavement raveling severity classification","Nhat-Duc, Hoang; Van-Duc, Tran",Automation in Construction,120,,,,B:convolutional neural network pavement | B:random forest pavement | B:gradient boosting pavement | B:gradient boosting asphalt pavement | B:categorical boosting pavement | B:light gradient boosting pavement,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1080/10298436.2014.937715,2014,journal-article,Macro- and micro-texture evolution of road pavements and correlation with friction,"Mahboob Kanafi, Mona; Kuosmanen, Antti; Pellinen, Terhi K; Tuononen, Ari Juhani",International Journal of Pavement Engineering,119,,,,A:differential evolution pavement,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.jclepro.2017.07.027,2017,journal-article,A multi-objective optimization-based pavement management decision-support system for enhancing pavement sustainability,"Santos, João; Ferreira, Adelino; Flintsch, Gerardo",Journal of Cleaner Production,117,,,,A:biogeography-based optimization pavement | A:arithmetic optimization pavement | A:coot optimization pavement | A:fennec fox optimization pavement | A:forensic-based investigation optimization pavement | A:bayesian optimization pavement | A:evolutionary optimization pavement,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.autcon.2021.104111,2022,journal-article,Automated decision making in highway pavement preventive maintenance based on deep learning,"Li, Jiale; Yin, Guohui; Wang, Xuefei; Yan, Weixi",Automation in Construction,115,,,,B:deep learning pavement,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.autcon.2022.104544,2022,journal-article,Pavement anomaly detection based on transformer and self-supervised learning,"Lin, Zijie; Wang, Hui; Li, Shenglin",Automation in Construction,115,,,,B:transformer network pavement,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.autcon.2022.104516,2022,journal-article,Deep learning-based pavement subsurface distress detection via ground penetrating radar data,"Li, Yishun; Liu, Chenglong; Yue, Guanghua; Gao, Qian; Du, Yuchuan",Automation in Construction,115,,,,C:data-driven model pavement distress,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1109/tits.2022.3174626,2022,journal-article,Novel YOLOv3 Model With Structure and Hyperparameter Optimization for Detection of Pavement Concealed Cracks in GPR Images,"Liu, Zhen; Gu, Xingyu; Yang, Hailu; Wang, Lutai; Chen, Yihan; Wang, Danyu",IEEE Transactions on Intelligent Transportation Systems,114,,,,A:hyperparameter optimization pavement,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.3390/s21175682,2021,journal-article,Adaboost Algorithm in Artificial Intelligence for Optimizing the IRI Prediction Accuracy of Asphalt Concrete Pavement,"Wang, Changbai; Xu, Shuzhan; Yang, Junxin",Sensors,114,,,"The international roughness index (IRI) for roads is a crucial pavement design criterion in the Mechanistic-Empirical Pavement Design Guide (MEPDG). However, studies have shown that the IRI transfer function in the MEPDG is simply a linear combination of road parameters, so it cannot provide accurate predictions. To solve this issue, this research developed an AdaBoost regression (ABR) model to improve the prediction ability of IRI and compared it with the linear regression (LR) in MEPDG. The development of the ABR model is based on the Python programming language, using the 4265 records from the Long-Term Pavement Performance (LTPP) that include the pavement thickness, service age, average annual daily truck traffic (AADTT), gator cracks, etc., which are reliable data that are preserved after years of monitoring. The results reveal that the ABR model is significantly better than the LR because the correlation coefficient (R2) between the measured and predicted values in the testing set increased from 0.5118 to 0.9751, and the mean square error (MSE) decreased from 0.0245 to 0.0088. By analyzing the importance of variables, there are many additional crucial factors, such as raveling and bleeding, that affect IRI, which leads to the weak performance of the LR model.",A:genetic algorithm asphalt pavement | A:firefly algorithm asphalt pavement | A:bat algorithm asphalt pavement | A:whale optimization algorithm asphalt pavement | A:grasshopper optimization algorithm asphalt pavement | A:jaya algorithm asphalt pavement | A:marine predators algorithm asphalt pavement | A:dingo optimization algorithm asphalt pavement | A:gravitational search algorithm asphalt pavement | A:nature-inspired algorithm asphalt pavement | A:swarm intelligence asphalt pavement,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1080/14680629.2019.1614969,2019,journal-article,Faster region convolutional neural network for automated pavement distress detection,"Song, Liang; Wang, Xuancang",Road Materials and Pavement Design,112,,,,B:artificial neural network pavement | B:convolutional neural network pavement | B:convolutional neural network asphalt pavement | B:recurrent neural network pavement | B:transformer network pavement | B:graph neural network pavement | B:graph neural network asphalt pavement | B:wavelet neural network pavement | C:hybrid model pavement distress | C:hybrid machine learning pavement distress | C:hybrid intelligent model pavement distress | C:optimized machine learning pavement distress | C:soft computing pavement distress | C:data-driven model pavement distress | C:surrogate model pavement distress,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.conbuildmat.2018.02.081,2018,journal-article,Innovative method for recognizing subgrade defects based on a convolutional neural network,"Tong, Zheng; Gao, Jie; Zhang, Haitao",Construction and Building Materials,111,,,,B:convolutional neural network subgrade soil | B:graph neural network subgrade soil | B:wavelet neural network subgrade soil,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1061/(asce)0899-1561(2009)21:6(253),2009,journal-article,Prediction of Fatigue Life of Rubberized Asphalt Concrete Mixtures Containing Reclaimed Asphalt Pavement Using Artificial Neural Networks,"Xiao, Feipeng; Amirkhanian, Serji; Juang, C. Hsein",Journal of Materials in Civil Engineering,111,,,,B:artificial neural network asphalt pavement,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.measurement.2022.111281,2022,journal-article,GPR-based detection of internal cracks in asphalt pavement: A combination method of DeepAugment data and object detection,"Liu, Zhen; Gu, Xingyu; Wu, Wenxiu; Zou, Xiaoyong; Dong, Qiao; Wang, Lutai",Measurement,110,,,,B:group method of data handling asphalt pavement,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1061/(asce)is.1943-555x.0000602,2021,journal-article,Using Machine Learning to Examine Impact of Type of Performance Indicator on Flexible Pavement Deterioration Modeling,"Madeh Piryonesi, S.; El-Diraby, Tamer E.",Journal of Infrastructure Systems,110,,,,C:hybrid machine learning pavement performance,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
